               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.057156,           0.0092218,           0.0038326,             0.94345,                   1,             0.97595,             0.77286,            0.017506,           0.0055239,           0.0031144,           0.0075844,           0.0075844,           0.0075844
                 124,            0.042828,           0.0085824,           0.0036416,             0.94345,                   1,             0.97595,             0.77286,            0.017506,           0.0055239,           0.0031144,           0.0075646,           0.0075646,           0.0075646
                 125,            0.053646,           0.0087673,           0.0037574,             0.76697,             0.98778,             0.92038,             0.41068,            0.026863,           0.0057234,           0.0031733,           0.0075448,           0.0075448,           0.0075448
                 126,            0.056686,            0.010833,           0.0037043,             0.76697,             0.98778,             0.92038,             0.41068,            0.026863,           0.0057234,           0.0031733,            0.007525,            0.007525,            0.007525
                 127,             0.05136,           0.0091135,           0.0048927,             0.98745,                   1,               0.995,             0.69326,            0.019035,           0.0055686,           0.0029834,           0.0075052,           0.0075052,           0.0075052
                 128,            0.047539,            0.010914,           0.0036729,             0.98745,                   1,               0.995,             0.69326,            0.019035,           0.0055686,           0.0029834,           0.0074854,           0.0074854,           0.0074854
                 129,              0.0438,            0.013854,           0.0039602,             0.55281,             0.92751,             0.72593,             0.36446,             0.02212,           0.0058429,            0.002934,           0.0074656,           0.0074656,           0.0074656
                 130,            0.049322,            0.011667,           0.0036095,             0.55281,             0.92751,             0.72593,             0.36446,             0.02212,           0.0058429,            0.002934,           0.0074458,           0.0074458,           0.0074458
                 131,            0.050674,           0.0096823,           0.0036098,             0.98518,                   1,               0.995,             0.53687,            0.024012,           0.0058491,           0.0029188,            0.007426,            0.007426,            0.007426
                 132,            0.037204,            0.006807,           0.0033734,             0.98518,                   1,               0.995,             0.53687,            0.024012,           0.0058491,           0.0029188,           0.0074062,           0.0074062,           0.0074062
                 133,            0.047903,            0.012287,           0.0037423,             0.92814,                0.95,             0.99045,             0.53351,            0.019347,           0.0056277,           0.0029688,           0.0073864,           0.0073864,           0.0073864
                 134,            0.049674,           0.0077636,            0.003654,             0.92814,                0.95,             0.99045,             0.53351,            0.019347,           0.0056277,           0.0029688,           0.0073666,           0.0073666,           0.0073666
                 135,            0.046892,            0.011813,           0.0036495,                   1,             0.98611,               0.995,             0.53245,            0.022858,           0.0056927,           0.0028753,           0.0073468,           0.0073468,           0.0073468
                 136,             0.05566,           0.0098471,           0.0033216,                   1,             0.98611,               0.995,             0.53245,            0.022858,           0.0056927,           0.0028753,            0.007327,            0.007327,            0.007327
                 137,            0.054539,            0.012165,           0.0033305,             0.59627,                0.95,             0.82908,             0.41039,            0.019846,            0.005328,           0.0029105,           0.0073072,           0.0073072,           0.0073072
                 138,            0.042873,           0.0088773,           0.0035214,             0.59627,                0.95,             0.82908,             0.41039,            0.019846,            0.005328,           0.0029105,           0.0072874,           0.0072874,           0.0072874
                 139,            0.054788,            0.011304,            0.003727,             0.99387,                   1,               0.995,             0.63846,            0.020935,            0.005213,           0.0029061,           0.0072676,           0.0072676,           0.0072676
                 140,            0.043737,           0.0085852,           0.0041269,             0.99387,                   1,               0.995,             0.63846,            0.020935,            0.005213,           0.0029061,           0.0072478,           0.0072478,           0.0072478
                 141,            0.050781,           0.0078565,           0.0043594,             0.53365,                 0.9,             0.77872,             0.41789,            0.022756,            0.005017,           0.0028099,            0.007228,            0.007228,            0.007228
                 142,            0.043954,           0.0093828,           0.0033868,             0.53365,                 0.9,             0.77872,             0.41789,            0.022756,            0.005017,           0.0028099,           0.0072082,           0.0072082,           0.0072082
                 143,            0.044414,            0.009562,           0.0032385,             0.97721,                   1,               0.995,             0.78844,            0.017068,           0.0048041,           0.0028014,           0.0071884,           0.0071884,           0.0071884
                 144,            0.044674,           0.0083643,           0.0032142,             0.97721,                   1,               0.995,             0.78844,            0.017068,           0.0048041,           0.0028014,           0.0071686,           0.0071686,           0.0071686
                 145,            0.050905,           0.0084421,           0.0032334,             0.59669,                 0.9,             0.78176,             0.39177,            0.025618,           0.0052201,           0.0028831,           0.0071488,           0.0071488,           0.0071488
                 146,            0.053804,           0.0084958,            0.003624,             0.59669,                 0.9,             0.78176,             0.39177,            0.025618,           0.0052201,           0.0028831,            0.007129,            0.007129,            0.007129
                 147,            0.051446,           0.0093164,           0.0033337,             0.99096,                   1,               0.995,             0.67094,            0.016207,           0.0047289,           0.0029551,           0.0071092,           0.0071092,           0.0071092
                 148,            0.038228,           0.0079237,           0.0035119,             0.99096,                   1,               0.995,             0.67094,            0.016207,           0.0047289,           0.0029551,           0.0070894,           0.0070894,           0.0070894
                 149,            0.053232,            0.010821,           0.0034098,             0.99686,                   1,               0.995,             0.72046,            0.015087,           0.0045986,           0.0030005,           0.0070696,           0.0070696,           0.0070696
                 150,            0.045567,           0.0092642,            0.003889,             0.99686,                   1,               0.995,             0.72046,            0.015087,           0.0045986,           0.0030005,           0.0070498,           0.0070498,           0.0070498
                 151,            0.047818,           0.0078277,           0.0034736,             0.56092,                0.75,             0.72312,             0.41967,            0.024424,           0.0049757,            0.002968,             0.00703,             0.00703,             0.00703
                 152,             0.05785,           0.0092703,           0.0038315,             0.56092,                0.75,             0.72312,             0.41967,            0.024424,           0.0049757,            0.002968,           0.0070102,           0.0070102,           0.0070102
                 153,            0.055133,            0.010664,           0.0040591,              0.9966,                   1,               0.995,             0.75694,            0.012885,           0.0044702,           0.0030719,           0.0069904,           0.0069904,           0.0069904
                 154,            0.039496,           0.0086488,           0.0035926,              0.9966,                   1,               0.995,             0.75694,            0.012885,           0.0044702,           0.0030719,           0.0069706,           0.0069706,           0.0069706
                 155,             0.04391,            0.010428,           0.0046444,             0.82585,                   1,             0.86405,             0.54566,            0.019167,           0.0047684,            0.002991,           0.0069508,           0.0069508,           0.0069508
                 156,            0.057561,           0.0070075,           0.0037838,             0.82585,                   1,             0.86405,             0.54566,            0.019167,           0.0047684,            0.002991,            0.006931,            0.006931,            0.006931
                 157,            0.051327,            0.010413,           0.0038875,             0.99683,                   1,               0.995,             0.76314,             0.01381,            0.004466,           0.0029826,           0.0069112,           0.0069112,           0.0069112
                 158,            0.041188,           0.0088213,           0.0033855,             0.99683,                   1,               0.995,             0.76314,             0.01381,            0.004466,           0.0029826,           0.0068914,           0.0068914,           0.0068914
